title,abstract
lidR: An R package for analysis of Airborne Laser Scanning (ALS) data,"Airborne laser scanning (ALS) is a remote sensing technology known for its applicability in natural resources management. By quantifying the three-dimensional structure of vegetation and underlying terrain using laser technology, ALS has been used extensively for enhancing geospatial knowledge in the fields of forestry and ecology. Structural descriptions of vegetation provide a means of estimating a range of ecologically pertinent attributes, such as height, volume, and above-ground biomass. The efficient processing of large, often technically complex datasets requires dedicated algorithms and software. The continued promise of ALS as a tool for improving ecological understanding is often dependent on user-created tools, methods, and approaches. Due to the proliferation of ALS among academic, governmental, and private-sector communities, paired with requirements to address a growing demand for open and accessible data, the ALS community is recognising the importance of free and open-source software (FOSS) and the importance of user-defined workflows. Herein, we describe the philosophy behind the development of the lidR package. Implemented in the R environment with a C/C++ backend, lidR is free, open-source and cross-platform software created to enable simple and creative processing workflows for forestry and ecology communities using ALS data. We review current algorithms used by the research community, and in doing so raise awareness of current successes and challenges associated with parameterisation and common implementation approaches. Through a detailed description of the package, we address the key considerations and the design philosophy that enables users to implement user-defined tools. We also discuss algorithm choices that make the package representative of the ‘state-of-the-art’ and we highlight some internal limitations through examples of processing time discrepancies. We conclude that the development of applications like lidR are of fundamental importance for developing transparent, flexible and open ALS tools to ensure not only reproducible workflows, but also to offer researchers the creative space required for the progress and development of the discipline."
Evaluation of machine learning algorithms for forest stand species mapping using Sentinel-2 imagery and environmental data in the Polish Carpathians,"Information about forest stand species distribution is essential for biodiversity modelling, forest disturbances, fire hazard and drought monitoring, biomass and carbon estimation, detection of non-native and invasive species, as well as for planning forest management strategies. High temporal and spectral resolution remote sensing data from the Sentinel-2 mission enables the derivation of accurate and timely maps of tree species in forests in a cost-efficient way. However, there is still a lack of studies regarding forest stand species mapping for large areas like the Polish Carpathian Mountains (approx. 20,000 km2). In this study, we aimed to develop a workflow to obtain forest stand species maps with machine learning algorithms applied to multi-temporal Sentinel-2 products and environmental data at regional scale. Using variable importance techniques - Variable Importance Using Random Forests (VSURF) and Recursive Feature Elimination (RFE) - we assessed three Sentinel-2 Best Available Pixel composites (April, July and October), eight annual spectral-temporal metrics (STM; mean, minimum, maximum, standard deviation, range, first quartile, third quartile and interquartile range), and four environmental topographic variables (elevation, slope, aspect, distance to water bodies), i.e. 114 variables in total. Following a variable importance assessment, we produced maps of eleven tree species with the use of three Machine Learning algorithms: Random Forest (RF), Support Vector Machines (SVM) and Extreme Gradient Boosting (XGB) on nine different variable subsets, i.e. in total 27 classifications. The results showed that SVM outperformed the other two classifiers - the highest overall accuracy exceeded 85% for SVM classification of all variables (86.9%), and 64 variables (85.6%). Including elevation information improved the accuracies. From the best five classifications we created a final ensemble map (overall accuracy of 86.6%) and a precision map based on the Simpson Index, which indicates where the five models agree. This ensemble approach allowed us to determine that the lowest precision occurred in foothills and basins with lower forest cover, in the areas with lack of good quality imagery, and at the borders of stands with homogenous species composition. On the other hand, the highest precision occurred in regions with homogenous stands with high forest and canopy cover. The study demonstrates the potential of Sentinel-2 imagery and topographic data in mapping forest stand species in large mountainous areas with high accuracy. Furthermore, it demonstrates the usefulness of the ensemble approach, which enables to assess the classification precision."
Spectral characteristics of sea snot reflectance observed from satellites: Implications for remote sensing of marine debris,"In 2021, coastal communities in the Sea of Marmara were impacted by large sea snot events. Based on data collected by several satellite sensors, we analyze and present the spectral reflectance characteristics of sea snots in the visible and near-infrared wavelengths. Sea snots often form elongated image slicks in Red-Green-Blue (RGB) or false-colour RGB (FRGB) images. Most reflectance spectra of sea snots show largely featureless spectral shapes, with continuous reflectance increases from the blue to the red, which then become flat toward the near infrared wavelengths. Some reflectance spectra show a local trough around 670 nm, indicating presence of chlorophyll a pigment, and thereby live algae. A 20-year time series of satellite data also reveals large-scale sea snot events in the Sea of Marmara before 2021. These results suggest that it might be possible to develop algorithms to search and map sea snots at a global scale, as sea snot events also occur in other regions. The results also indicate that remote differentiation of sea snots and marine debris using multi-band sensors may be difficult because of the spectral similarity between them."
Full-coverage mapping and spatiotemporal variations of ground-level ozone (O3) pollution from 2013 to 2020 across China,"Ozone (O3) is an important trace and greenhouse gas in the atmosphere yet, and it threatens the ecological environment and
human health at the ground level. Large-scale and long-term studies of O3 pollution in China are few due to highly limited
direct measurements whose accuracy and density vary considerably. To overcome these limitations, we employed the ensemble
learning method of the extremely randomized trees model by utilizing the spatiotemporal information of a large number of input
variables from ground-based observations, remote sensing, atmospheric reanalysis, and model simulation products to estimate
ground-level O3. This method yields uniform, long-term and continuous spatiotemporal information of daily maximum eighthour average (MDA8) O3 over China (called ChinaHighO3) from 2013 to 2020 at a 10 km resolution without any missing values
(spatial coverage = 100%). Evaluation against observations indicates that our O3 estimations and predictions are reliable
with an average out-of-sample (out-of-station) coefficient of determination (CV-R2) of 0.87 (0.80) and root-mean-square error
of 17.10 (21.10) μg/m3 [units here are at standard conditions (273K, 1013hPa)], and are also robust at varying spatial and
temporal scales in China. This high-quality and full-coverage O3 dataset allows us to investigate the exposure and trends in O3
pollution at both long- and short-term scales. Trends in O3 concentrations varied substantially but showed an average growth
rate of 2.49 μg/m3/yr (p < 0.001) from 2013 to 2020 in China. Most areas show an increasing trend since 2015, especially in
summer ozone over the North China Plain. Our dataset accurately captured a recent national and regional O3 pollution event
from 23 April to 8 May in 2020. Rapid increase and recovery of O3 concentrations associated with variations in anthropogenic
emissions were seen during and after the COVID-19 lockdown, respectively. This carefully vetted and smoothed dataset is
valuable for studies on air pollution and environmental health in China."
"Mapping of crop types and crop sequences with combined time series of Sentinel-1, Sentinel-2 and Landsat 8 data for Germany","Monitoring agricultural systems becomes increasingly important in the context of global challenges like climate change, biodiversity loss, population growth, and the rising demand for agricultural products. High-resolution, national-scale maps of agricultural land are needed to develop strategies for future sustainable agriculture. However, the characterization of agricultural land cover over large areas and for multiple years remains challenging due to the locally diverse and temporally variable characteristics of cultivated land. We here propose a workflow for generating national agricultural land cover maps on a yearly basis that accounts for varying environmental conditions. We tested the approach by mapping 24 agricultural land cover classes in Germany for the three years 2017, 2018, and 2019, in which the meteorological conditions strongly differed. We used a random forest classifier and dense time series data from Sentinel-2 and Landsat 8 in combination with monthly Sentinel-1 composites and environmental data and evaluated the relative importance of optical, radar, and environmental data.

Our results show high overall accuracy and plausible class accuracies for the most dominant crop types across different years despite the strong inter-annual meteorological variability and the presence of drought and non-drought years. The maps show high spatial consistency and good delineation of field parcels. Combining optical, SAR, and environmental data increased overall accuracies by 6% to 10% compared to single sensor approaches, in which optical data outperformed SAR. Overall accuracy ranged between 78% and 80%, and the mapped areas aligned well with agricultural statistics at the regional and national level. Based on the multi-year dataset we mapped major crop sequences of cereals and leaf crops. Most crop sequences were dominated by winter cereals followed by summer cereals. Monocultures of summer cereals were mainly revealed in the Northwest of Germany. We showcased that high spatial and thematic detail in combination with annual mapping will stimulate research on crop cycles and studies to assess the impact of environmental policies on management decisions. Our results demonstrate the capabilities of integrated optical time series and SAR data in combination with variables describing local and seasonal environmental conditions for annual large-area crop type mapping."
"Biomass estimation from simulated GEDI, ICESat-2 and NISAR across environmental gradients in Sonoma County, California","Estimates of the magnitude and distribution of aboveground carbon in Earth's forests remain uncertain, yet knowledge of forest carbon content at a global scale is critical for forest management in support of climate mitigation. In light of this knowledge gap, several upcoming spaceborne missions aim to map forest aboveground biomass, and many new biomass products are expected from these datasets. As these new missions host different technologies, each with relative strengths and weaknesses for biomass retrieval, as well as different spatial resolutions, consistently comparing or combining biomass estimates from these new datasets will be challenging. This paper presents a demonstration of an inter-comparison of biomass estimates from simulations of three NASA missions (GEDI, ICESat-2 and NISAR) over Sonoma county in California, USA. We use a high resolution, locally calibrated airborne lidar map as our reference dataset, and emphasize the importance of considering uncertainties in both reference maps and spaceborne estimates when conducting biomass product validation. GEDI and ICESat-2 were simulated from airborne lidar point clouds, while UAVSAR's L-band backscatter was used as a proxy for NISAR. To estimate biomass for the lidar missions we used GEDI's footprint-level biomass algorithms, and also adapted these for application to ICESat-2. For UAVSAR, we developed a locally trained biomass model, calibrated against the ALS reference map. Each mission simulation was evaluated in comparison to the local reference map at its native product resolution (25 m, 100 m transect, and 1 ha) yielding RMSEs of 57%, 75%, and 89% for GEDI, NISAR, and ICESat-2 respectively. RMSE values increased for GEDI's power beam during simulated daytime conditions (64%), coverage beam during nighttime conditions (72%), and coverage beam daytime conditions (87%). We also test the application of GEDI's biomass modeling framework for estimation of biomass from ICESat-2, and find that ICESat-2 yields reasonable biomass estimates, particularly in relatively short, open canopies. Results suggest that while all three missions will produce datasets useful for biomass mapping, tall, dense canopies such as those found in Sonoma County present the greatest challenges for all three missions, while steep slopes also prove challenging for single-date SAR-based biomass retrievals. Our methods provide guidance for the inter-comparison and validation of spaceborne biomass estimates through the use of airborne lidar reference maps, and could be repeated with on-orbit estimates in any area with high quality field plot and ALS data. These methods allow for regional interpretations and filtering of multi-mission biomass estimates toward improved wall-to-wall biomass maps through data fusion."
"ACIX-Aqua: A global assessment of atmospheric correction methods for Landsat-8 and Sentinel-2 over lakes, rivers, and coastal waters","Atmospheric correction over inland and coastal waters is one of the major remaining challenges in aquatic remote sensing, often hindering the quantitative retrieval of biogeochemical variables and analysis of their spatial and temporal variability within aquatic environments. The Atmospheric Correction Intercomparison Exercise (ACIX-Aqua), a joint NASA – ESA activity, was initiated to enable a thorough evaluation of eight state-of-the-art atmospheric correction (AC) processors available for Landsat-8 and Sentinel-2 data processing. Over 1000 radiometric matchups from both freshwaters (rivers, lakes, reservoirs) and coastal waters were utilized to examine the quality of derived aquatic reflectances (
). This dataset originated from two sources: Data gathered from the international scientific community (henceforth called Community Validation Database, CVD), which captured predominantly inland water observations, and the Ocean Color component of AERONET measurements (AERONET-OC), representing primarily coastal ocean environments. This volume of data permitted the evaluation of the AC processors individually (using all the matchups) and comparatively (across seven different Optical Water Types, OWTs) using common matchups. We found that the performance of the AC processors differed for CVD and AERONET-OC matchups, likely reflecting inherent variability in aquatic and atmospheric properties between the two datasets. For the former, the median errors in 
 and 
 were found to range from 20 to 30% for best-performing processors. Using the AERONET-OC matchups, our performance assessments showed that median errors within the 15–30% range in these spectral bands may be achieved. The largest uncertainties were associated with the blue bands (25 to 60%) for best-performing processors considering both CVD and AERONET-OC assessments. We further assessed uncertainty propagation to the downstream products such as near-surface concentration of chlorophyll-a (Chla) and Total Suspended Solids (TSS). Using satellite matchups from the CVD along with in situ Chla and TSS, we found that 20–30% uncertainties in 
 yielded 25–70% uncertainties in derived Chla and TSS products for top-performing AC processors. We summarize our results using performance matrices guiding the satellite user community through the OWT-specific relative performance of AC processors. Our analysis stresses the need for better representation of aerosols, particularly absorbing ones, and improvements in corrections for sky- (or sun-) glint and adjacency effects, in order to achieve higher quality downstream products in freshwater and coastal ecosystems."
"A review of vegetation phenological metrics extraction using time-series, multispectral satellite data","Vegetation dynamics and phenology play an important role in inter-annual vegetation changes in terrestrial ecosystems and are key indicators of climate-vegetation interactions, land use/land cover changes, and variation in year-to-year vegetation productivity. Satellite remote sensing data have been widely used for vegetation phenology monitoring over large geographic domains using various types of observations and methods over the past several decades. The goal of this paper is to present a detailed review of existing methods for phenology detection and emerging new techniques based on the analysis of time-series, multispectral remote sensing imagery. This paper summarizes the objective and applications of detecting general vegetation phenology stages (e.g., green onset, time or peak greenness, and growing season length) often termed “land surface phenology,” as well as more advanced methods that estimate species-specific phenological stages (e.g., silking stage of maize). Common data-processing methods, such as data smoothing, applied to prepare the time-series remote sensing observations to be applied to phenological detection methods are presented. Specific land surface phenology detection methods as well as species-specific phenology detection methods based on multispectral satellite data are then discussed. The impact of different error sources in the data on remote-sensing based phenology detection are also discussed in detail, as well as ways to reduce these uncertainties and errors. Joint analysis of multiscale observations ranging from satellite to more recent ground-based sensors is helpful for us to understand satellite-based phenology detection mechanism and extent phenology detection to regional scale in the future. Finally, emerging opportunities to further advance remote sensing of phenology is presented that includes observations from Cubesats, near-surface observations such as PhenoCams, and image data fusion techniques to improve the spatial resolution of time-series image data sets needed for phenological characterization."
Corn yield prediction and uncertainty analysis based on remotely sensed variables using a Bayesian neural network approach,"As the world's leading corn producer, the United States supplies more than 30% of the global corn production. Accurate and timely estimation of corn yield is therefore essential for commodity trading and global food security. Recently, several deep learning models have been explored for corn yield forecasting. Despite success, most existing models only provide yield estimations without quantifying the uncertainty associated with the predictions. Also, the traditional deep learning approaches typically require a large training set and are easily prone to overfitting when the number of samples in the training set is relatively small. To address these limitations, in this study, we developed a county-level corn yield prediction model based on Bayesian Neural Network (BNN) using multiple data sources that are publicly available, including time-series satellite products, sequential climate observations, soil property maps, and historical corn yield records. Using preceding years since 2001 for model training, the developed BNN model achieved an average coefficient of determination (R2) of 0.77 for late-season prediction across the U.S. Corn Belt in testing years 2010–2019, and outperformed five other state-of-the-art machine learning models. Detailed evaluation in three representative testing years demonstrated that the proposed BNN model could accurately estimate corn yield not only in normal years but also in abnormal years when extreme weather events happened. Moreover, the timeliness of the prediction was evaluated within the growing season with an R2~0.75 achieved by middle August, which is about 2 months before the harvest. We also assessed the predictive uncertainty, and more than 84% of the observed yield records were successfully enveloped in the 95% confidence interval of the predictive yield distribution. Our results also showed that the uncertainty level decreased steadily as time proceeded and stabilized around early August. Uncertainties in yield prediction were mainly induced by the observation noise and also related to the interannual and seasonal variabilities of environmental stress such as heat and water stress. This paper provides a robust framework for the within-season prediction of crop yield and highlights the need to obtain a deeper understanding of the effects of environmental stress on agricultural productivity and crop yield estimation.
"
NASA's surface biology and geology designated observable: A perspective on surface imaging algorithms,"The 2017–2027 National Academies' Decadal Survey, Thriving on Our Changing Planet, recommended Surface Biology and Geology (SBG) as a “Designated Targeted Observable” (DO). The SBG DO is based on the need for capabilities to acquire global, high spatial resolution, visible to shortwave infrared (VSWIR; 380–2500 nm; ~30 m pixel resolution) hyperspectral (imaging spectroscopy) and multispectral midwave and thermal infrared (MWIR: 3–5 μm; TIR: 8–12 μm; ~60 m pixel resolution) measurements with sub-monthly temporal revisits over terrestrial, freshwater, and coastal marine habitats. To address the various mission design needs, an SBG Algorithms Working Group of multidisciplinary researchers has been formed to review and evaluate the algorithms applicable to the SBG DO across a wide range of Earth science disciplines, including terrestrial and aquatic ecology, atmospheric science, geology, and hydrology. Here, we summarize current state-of-the-practice VSWIR and TIR algorithms that use airborne or orbital spectral imaging observations to address the SBG DO priorities identified by the Decadal Survey: (i) terrestrial vegetation physiology, functional traits, and health; (ii) inland and coastal aquatic ecosystems physiology, functional traits, and health; (iii) snow and ice accumulation, melting, and albedo; (iv) active surface composition (eruptions, landslides, evolving landscapes, hazard risks); (v) effects of changing land use on surface energy, water, momentum, and carbon fluxes; and (vi) managing agriculture, natural habitats, water use/quality, and urban development. We review existing algorithms in the following categories: snow/ice, aquatic environments, geology, and terrestrial vegetation, and summarize the community-state-of-practice in each category. This effort synthesizes the findings of more than 130 scientists.
"
SO–CNN based urban functional zone fine division with VHR remote sensing image,"Functional zone reflects city's spatial structures, and as a carrier of social and economic activities, it is of critical significance to urban management, resource allocation and planning. However, most researches on functional zone division are based on a large spatial scale such as blocks or other scales larger than it. Aiming at a subtle fine functional result, the concept of Super Object (SO) was especially explained, also a Super Object - Convolutional Neural Network (SO–CNN) based urban functional zone fine division method with very high resolution (VHR) remote sensing image was proposed. The original image was firstly segmented into different SOs which correspond to the basic functional zone units in geography. A random point generation algorithm was used to generate the voting points for functional zone category identification, and then a trained CNN model was employed to assign functional attributes to those voting points. Then a statistical method was involved to count the frequency of the classified voting points of different functional attributes in each basic functional zone units. By voting process, the functional attribute with the highest frequency was assigned to the basic functional zone unit, which corrected the misclassification results of CNN to some extent. This paper also explored the scale effect of the SO on the final functional zone classification result from two aspects, spatial scale of SO and the sampling window size of CNN model. Because of the natural differences between functional zone division and land cover classification, region based overall accuracy assessment method was used to evaluate functional zone division result. Compared with other methods, SO–CNN method can generate higher accuracy and subtle result, based on which larger spatial scale results can be available by scaling-up, so SO–CNN method plays a great significant role on small scale functional space structure research. "
Remote sensing in urban planning: Contributions towards ecologically sound policies?,"Remote sensing has evolved to become a key tool for various fields of environmental analysis, thus actively informing policy across areas and domains. To evaluate the degree to which remote sensing is contributing to the science of ecologically-oriented urban planning, we carried out a systematic literature review using the SCOPUS database, searching for articles integrating knowledge in urban planning, remote sensing and ecology. We reviewed 186 articles, analysing various issues in urban environments worldwide. Key findings include that the level of integration between the three disciplines is limited, with only 12% of the papers fully integrating ecology, remote sensing and planning while 24% of the studies use specific methods from one domain only. The vast majority of studies is oriented towards contributing to the knowledge base or monitoring the impacts of existing policies. Few studies are directly policy relevant by either contributing to direct issues in planning and making specific design suggestions or evaluations. The accessibility of the scientific findings remains limited, as the majority of journal articles are not open access and proprietary software and data are frequently used. To overcome these issues, we suggest three future avenues for science as well as three potential entry points for remote sensing into applied urban planning. By doing so, remote sensing data could become a vital tool actively contributing to policies, civil engagement and concrete planning measures by providing independent and cost effective environmental analyses."
Fifty years of Landsat science and impacts,"Since 1972, the Landsat program has been continually monitoring the Earth, to now provide 50 years of digital, multispectral, medium spatial resolution observations. Over this time, Landsat data were crucial for many scientific and technical advances. Prior to the Landsat program, detailed, synoptic depictions of the Earth's surface were rare, and the ability to acquire and work with large datasets was limited. The early years of the Landsat program delivered a series of technological breakthroughs, pioneering new methods, and demonstrating the ability and capacity of digital satellite imagery, creating a template for other global Earth observation missions and programs. Innovations driven by the Landsat program have paved the way for subsequent science, application, and policy support activities. The economic and scientific value of the knowledge gained through the Landsat program has been long recognized, and despite periods of funding uncertainty, has resulted in the program's 50 years of continuity, as well as substantive and ongoing improvements to payload and mission performance. Free and open access to Landsat data, enacted in 2008, was unprecedented for medium spatial resolution Earth observation data and substantially increased usage and led to a proliferation of science and application opportunities. Here, we highlight key developments over the past 50 years of the Landsat program that have influenced and changed our scientific understanding of the Earth system. Major scientific and programmatic impacts have been realized in the areas of agricultural crop mapping and water use, climate change drivers and impacts, ecosystems and land cover monitoring, and mapping the changing human footprint. The introduction of Landsat collection processing, coupled with the free and open data policy, facilitated a transition in Landsat data usage away from single images and towards time series analyses over large areas and has fostered the widespread use of science-grade data. The launch of Landsat-9 on September 27, 2021, and the advanced planning of its successor mission, Landsat-Next, underscore the sustained institutional support for the program. Such support and commitment to continuity is recognition of both the historic impact the program, and the future potential to build upon Landsat's remarkable 50-year legacy."
"Remote sensing in agriculture—accomplishments, limitations, and opportunities","Remote sensing (RS) technologies provide a diagnostic tool that can serve as an early warning system, allowing the agricultural community to intervene early on to counter potential problems before they spread widely and negatively impact crop productivity. With the recent advancements in sensor technologies, data management and data analytics, currently, several RS options are available to the agricultural community. However, the agricultural sector is yet to implement RS technologies fully due to knowledge gaps on their sufficiency, appropriateness and techno-economic feasibilities. This study reviewed the literature between 2000 to 2019 that focused on the application of RS technologies in production agriculture, ranging from field preparation, planting, and in-season applications to harvesting, with the objective of contributing to the scientific understanding on the potential for RS technologies to support decision-making within different production stages. We found an increasing trend in the use of RS technologies in agricultural production over the past 20 years, with a sharp increase in applications of unmanned aerial systems (UASs) after 2015. The largest number of scientific papers related to UASs originated from Europe (34%), followed by the United States (20%) and China (11%). Most of the prior RS studies have focused on soil moisture and in-season crop health monitoring, and less in areas such as soil compaction, subsurface drainage, and crop grain quality monitoring. In summary, the literature highlighted that RS technologies can be used to support site-specific management decisions at various stages of crop production, helping to optimize crop production while addressing environmental quality, profitability, and sustainability."
Annual maps of global artificial impervious area (GAIA) between 1985 and 2018,"Artificial impervious areas are predominant indicators of human settlements. Timely, accurate, and frequent information on artificial impervious areas is critical to understanding the process of urbanization and land use/cover change, as well as of their impacts on the environment and biodiversity. Despite their importance, there still lack annual maps of high-resolution Global Artificial Impervious Areas (GAIA) with longer than 30-year records, due to the high demand of high performance computation and the lack of effective mapping algorithms. In this paper, we mapped annual GAIA from 1985 to 2018 using the full archive of 30-m resolution Landsat images on the Google Earth Engine platform. With ancillary datasets, including the nighttime light data and the Sentinel-1 Synthetic Aperture Radar data, we improved the performance of our previously developed algorithm in arid areas. We evaluated the GAIA data for 1985, 1990, 1995, 2000, 2005, 2010, and 2015, and the mean overall accuracy is higher than 90%. A cross-product comparison indicates the GAIA data are the only dataset spanning over 30 years. The temporal trend in GAIA agrees well with other datasets at the local, regional, and global scales. Our results indicate that the GAIA reached 797,076 km2 in 2018, which is 1.5 times more than that in 1990. China and the United States (US) rank among the top two in artificial impervious area, accounting for approximately 50% of the world's total in 2018. The artificial impervious area of China surpassed that of the US in 2015. By 2018, the remaining eight among the top ten countries are India, Russia, Brazil, France, Italy, Germany, Japan, and Canada. The GAIA dataset can be freely downloaded from http://data.ess.tsinghua.edu.cn."
Scale in remote sensing and GIS,"The recent emergence and widespread use of remote sensing and geographic information systems (GIS) has prompted new interest in scale as a key component of these and other geographic information technologies. Techniques for dealing explicitly with scale are now available in GIS, but, until now, very little literature was available to consider and solve specific issues of scale.
With a balanced mixture of concepts, practical examples, techniques, and theory, Scale in Remote Sensing and GIS is a guide for students and users of remote sensing and GIS who must deal with the issues raised by multiple temporal and spatial scales."
Crop nitrogen monitoring: Recent progress and principal developments in the context of imaging spectroscopy missions,"Nitrogen (N) is considered as one of the most important plant macronutrients and proper management of N therefore is a pre-requisite for modern agriculture. Continuous satellite-based monitoring of this key plant trait would help to understand individual crop N use efficiency and thus would enable site-specific N management. Since hyperspectral imaging sensors could provide detailed measurements of spectral signatures corresponding to the optical activity of chemical constituents, they have a theoretical advantage over multi-spectral sensing for the detection of crop N. The current study aims to provide a state-of-the-art overview of crop N retrieval methods from hyperspectral data in the agricultural sector and in the context of future satellite imaging spectroscopy missions. Over 400 studies were reviewed for this purpose, identifying those estimating mass-based N (N concentration, N%) and area-based N (N content, Narea) using hyperspectral remote sensing data. Retrieval methods of the 125 studies selected in this review can be grouped into: (1) parametric regression methods, (2) linear nonparametric regression methods or chemometrics, (3) nonlinear nonparametric regression methods or machine learning regression algorithms, (4) physically-based or radiative transfer models (RTM), (5) use of alternative data sources (sun-induced fluorescence, SIF) and (6) hybrid or combined techniques. Whereas in the last decades methods for estimation of Narea and N% from hyperspectral data have been mainly based on simple parametric regression algorithms, such as narrowband vegetation indices, there is an increasing trend of using machine learning, RTM and hybrid techniques. Within plants, N is invested in proteins and chlorophylls stored in the leaf cells, with the proteins being the major nitrogen-containing biochemical constituent. However, in most studies, the relationship between N and chlorophyll content was used to estimate crop N, focusing on the visible-near infrared (VNIR) spectral domains, and thus neglecting protein-related N and reallocation of nitrogen to non-photosynthetic compartments. Therefore, we recommend exploiting the estimation of nitrogen via the proxy of proteins using hyperspectral data and in particular the short-wave infrared (SWIR) spectral domain. We further strongly encourage a standardization of nitrogen terminology, distinguishing between N% and Narea. Moreover, the exploitation of physically-based approaches is highly recommended combined with machine learning regression algorithms, which represents an interesting perspective for future research in view of new spaceborne imaging spectroscopy sensors."
Monitoring cropland abandonment with Landsat time series,"Cropland abandonment is a widespread land-use change, but it is difficult to monitor with remote sensing because it is often spatially dispersed, easily confused with spectrally similar land-use classes such as grasslands and fallow fields, and because post-agricultural succession can take different forms in different biomes. Due to these difficulties, prior assessments of cropland abandonment have largely been limited in resolution, extent, or both. However, cropland abandonment has wide-reaching consequences for the environment, food production, and rural livelihoods, which is why new approaches to monitor long-term cropland abandonment in different biomes accurately are needed. Our goals were to 1) develop a new approach to map the extent and the timing of abandoned cropland using the entire Landsat time series, and 2) test this approach in 14 study regions across the globe that capture a wide range of environmental conditions as well as the three major causes of abandonment, i.e., social, economic, and environmental factors. Our approach was based on annual maps of active cropland and non-cropland areas using Landsat summary metrics for each year from 1987 to 2017. We streamlined perpixel classifications by generating multi-year training data that can be used for annual classification. Based on the annual classifications, we analyzed land-use trajectories of each pixel in order to distinguish abandoned cropland, stable cropland, non-cropland, and fallow fields. In most study regions, our new approach separated abandoned cropland accurately from stable cropland and other classes. The classification accuracy for abandonment was highest in regions with industrialized agriculture (area-adjusted F1 score for Mato Grosso in Brazil: 0.8; Volgograd in Russia: 0.6), and drylands (e.g., Shaanxi in China, Nebraska in the U.S.: 0.5) where fields were large or spectrally distinct from non-cropland. Abandonment of subsistence agriculture with small field sizes (e.g., Nepal: 0.1) or highly variable climate (e.g., Sardinia in Italy: 0.2) was not accurately mapped. Cropland abandonment occurred in all study regions but was especially prominent in developing countries and formerly socialist states. In summary, we present here an approach for monitoring cropland abandonment with Landsat imagery, which can be applied across diverse biomes and may thereby improve the understanding of the drivers and consequences of this important land-use change process."
Reconstructing 1-km-resolution high-quality PM2. 5 data records from 2000 to 2018 in China: spatiotemporal variations and policy implications,"Exposure to fine particulate matter (PM2.5) can significantly harm human health and increase the risk of death.
Satellite remote sensing allows for generating spatially continuous PM2.5 data, but current datasets have overall
low accuracies with coarse spatial resolutions limited by data sources and models. Air pollution levels in China
have experienced dramatic changes over the past couple of decades. However, country-wide ground-based PM2.5

records only date back to 2013. To reveal the spatiotemporal variations of PM2.5, long-term and high-spatial-
resolution aerosol optical depths, generated by the Moderate Resolution Imaging Spectroradiometer (MODIS)

Multi-Angle implementation of Atmospheric Correction (MAIAC) algorithm, were employed to estimate PM2.5
concentrations at a 1 km resolution using our proposed Space-Time Extra-Trees (STET) model. Our model can
capture well variations in PM2.5 concentrations at different spatiotemporal scales, with higher accuracies (i.e.,
cross-validation coefficient of determination, CV-R2 = 0.86–0.90) and stronger predictive powers (i.e., R2 =
0.80–0.82) than previously reported. The resulting PM2.5 dataset for China (i.e., ChinaHighPM2.5) provides the
longest record (i.e., 2000 to 2018) at a high spatial resolution of 1 km, enabling the study of PM2.5 variation
patterns at different scales. In most places, PM2.5 concentrations showed increasing trends around 2007 and
remained high until 2013, after which they declined substantially, thanks to a series of government actions
combating air pollution in China. While nationwide PM2.5 concentrations have decreased by 0.89 μg/m3
/yr (p <

0.001) during the last two decades, the reduction has accelerated to 4.08 μg/m3

/yr (p < 0.001) over the last six
years, indicating a significant improvement in air quality. Large improvements occurred in the Pearl and Yangtze

River Deltas, while the most polluted region remained the North China Plain, especially in winter. The China-
HighPM2.5 dataset will enable more insightful analyses regarding the causes and attribution of pollution over

medium- or small-scale areas."
"Hyperspectral remote sensing in lithological mapping, mineral exploration, and environmental geology: an updated review","Hyperspectral imaging has been used in a variety of geological applications since its advent in the 1970s. In the last few decades, different techniques have been developed by geologists to analyze hyperspectral data in order to quantitatively extract geological information from the high-spectral-resolution remote sensing images. We attempt to review and update various steps of the techniques used in geological information extraction, such as lithological and mineralogical mapping, ore exploration, and environmental geology. The steps include atmospheric correction, dimensionality processing, endmember extraction, and image classification. It is identified that per-pixel and subpixel image classifiers can generate accurate alteration mineral maps. Producing geological maps of different surface materials including minerals and rocks is one of the most important geological applications. The hyperspectral images classification methods demonstrate the potential for being used as a main tool in the mining industry and environmental geology. To exemplify the potential, we also include a few case studies of different geological applications."
